date,dial
1/3/2016,63
1/10/2016,69
1/17/2016,76
1/23/2016,82
1/30/2016,94
2/6/2016,106
2/13/2016,121
2/20/2016,136
2/27/2016,160
3/5/2016,183
3/13/2016,203
3/19/2016,228
3/26/2016,262
4/2/2016,312
4/9/2016,371
4/16/2016,418
4/23/2016,487
4/30/2016,542
5/7/2016,606
5/14/2016,692
5/21/2016,745
6/4/2016,886
6/11/2016,966
6/18/2016,1032
6/26/2016,1130
7/2/2016,1217
7/9/2016,1299
7/22/2016,1440
7/30/2016,1544
8/6/2016,1634
8/20/2016,1783
9/3/2016,1909
9/9/2016,1969
9/17/2016,2015
9/25/2016,2060
10/1/2016,2087
10/16/2016,2129
10/30/2016,2156
11/5/2016,2169
11/12/2016,2181
11/19/2016,2191
11/25/2016,2198
12/2/2016,2207
12/10/2016,2214
12/17/2016,2219
12/24/2016,2222
